last_measure,pm10,pm10_level,co,co_level,no2,no2_level,pm25,pm25_level,
2018-10-22 00:00:00,3,good,3427,moderate,0,good,3,good,
2019-06-13 00:00:00,5,good,486,good,0,good,5,good,
2019-06-10 00:00:00,16,moderate,144,good,2,good,13,moderate,
2019-06-10 00:00:00,1,good,389,good,0,good,1,good,
2018-03-05 00:00:00,9,good,158,good,6,good,8,good,
2019-06-13 00:00:00,495,unhealthy-high,83,good,78,moderate,232,unhealthy-high,
2018-12-16 00:00:00,6,good,358,good,0,good,5,good,
2018-08-02 00:00:00,9,good,104,good,2,good,9,good,
2018-09-18 00:00:00,21,moderate,132,good,10,good,17,unhealthy-low,
2018-04-26 00:00:00,12,good,371,good,8,good,12,moderate,
2019-06-10 00:00:00,3,good,631,good,0,good,2,good,
2019-06-10 00:00:00,1,good,588,good,0,good,1,good,
2018-12-13 00:00:00,31,unhealthy-low,2404,good,8,good,22,unhealthy-low,
2018-12-16 00:00:00,6,good,414,good,0,good,4,good,
2019-06-13 00:00:00,8,good,545,good,0,good,8,good,
2018-04-06 00:00:00,18,moderate,192,good,10,good,14,moderate,
